PROLIFIC_PID,SESSION_ID,STUDY_ID,age,completedAt,country,createdAt,education,gender,q0,q1,q10,q11,q12,q13,q14,q15,q16,q2,q3,q4,q5,q6,q7,q8,q9,selectedMovies,techknow,testGroup,useForImprovementsForOthers,useForRecommendations,useForSharing,work
5f4ea818962e2b0c6909f0b6,5f868bcda6722c1e356687e3,5f8574e1321766020cfa1d2e,32,"Wed, 14 Oct 2020 05:40:16 GMT",US,"Wed, 14 Oct 2020 05:27:09 GMT",Master's degree,Male,4,2,2,1,2,3,4,5,5,4,5,4,5,4,5,4,3,"[{'movieId': 252, 'poster_path': '/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg', 'title': 'Usual Suspects, The (1995)'}, {'movieId': 1823, 'poster_path': '/w7WxNbb0mcWpwDMd3pJA7LQRfnt.jpg', 'title': 'Intouchables (2011)'}, {'movieId': 805, 'poster_path': '/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg', 'title': 'The Martian (2015)'}, {'movieId': 783, 'poster_path': '/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg', 'title': 'The Imitation Game (2014)'}, {'movieId': 758, 'poster_path': '/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg', 'title': 'Interstellar (2014)'}]",I am very knowledgeable,b,True,True,True,Employed full time
5f48d07c0aa4ce3936eb0a03,5f868bb25d9e131ea521e5da,5f8574e1321766020cfa1d2e,31,"Wed, 14 Oct 2020 05:30:27 GMT",US,"Wed, 14 Oct 2020 05:25:23 GMT",Bachelor's degree,Female,4,4,4,5,5,4,1,1,5,2,4,4,4,4,3,3,2,"[{'movieId': 297, 'poster_path': '/k1lICEYRpJeFRIRfjxYwmpO9LTu.jpg', 'title': 'Fight Club (1999)'}, {'movieId': 48, 'poster_path': '/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg', 'title': 'Eternal Sunshine of the Spotless Mind (2004)'}, {'movieId': 263, 'poster_path': '/6UTzw3kipgTYAJCX8GExoXzcVOx.jpg', 'title': 'Trainspotting (1996)'}, {'movieId': 757, 'poster_path': '/1WicOAzPkpBWajjvcFazPLIuu0A.jpg', 'title': 'Grand Budapest Hotel, The (2014)'}, {'movieId': 283, 'poster_path': '/48auuGpzl9KSZixAKwj8yKBNIv4.jpg', 'title': 'Big Lebowski, The (1998)'}, {'movieId': 1710, 'poster_path': '/gA49wTJMIr3TUM6fEDkjeGxkYgZ.jpg', 'title': 'Office Space (1999)'}, {'movieId': 645, 'poster_path': '/kve20tXwUZpu4GUX8l6X7Z4jmL6.jpg', 'title': 'Shutter Island (2010)'}, {'movieId': 133, 'poster_path': '/jW8w2QZnCSRblYWPc5FKAkS1cal.jpg', 'title': 'Truman Show, The (1998)'}, {'movieId': 526, 'poster_path': '/tFnTds88mCuLcLPBseK1kF2E3qv.jpg', 'title': 'Little Miss Sunshine (2006)'}]",I have a good idea of the technical details,a,True,True,True,Employed full time
5ddecbb55daaa6e4238aabc7,5f86c0dbda414c0009b5c9b2,5f8574e1321766020cfa1d2e,54,"Wed, 14 Oct 2020 09:15:27 GMT",GB,"Wed, 14 Oct 2020 09:12:13 GMT",Master's degree,Male,5,5,3,3,3,4,3,4,5,5,5,3,3,4,5,4,5,"[{'movieId': 252, 'poster_path': '/bUPmtQzrRhzqYySeiMpv7GurAfm.jpg', 'title': 'Usual Suspects, The (1995)'}, {'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 969, 'poster_path': '/kKpORM0G7xDvJGQiXpQ0wUp9Dwo.jpg', 'title': 'Fargo (1996)'}, {'movieId': 167, 'poster_path': '/fIssD3w3SvIhPPmVo4WMgZDVLID.jpg', 'title': 'Sixth Sense, The (1999)'}, {'movieId': 782, 'poster_path': '/9goPE2IoMIXxTLWzl7aizwuIiLh.jpg', 'title': 'Ex Machina (2015)'}]",I don't know any technical details,d,True,True,False,Employed full time
5f5aa60bef062519ff711fe6,5f868b524802341d4daf53ab,5f8574e1321766020cfa1d2e,18,"Wed, 14 Oct 2020 05:40:20 GMT",US,"Wed, 14 Oct 2020 05:30:41 GMT",High school,Male,5,5,2,2,2,3,5,4,5,4,4,3,3,4,4,5,5,"[{'movieId': 89, 'poster_path': '/lKb6h6LURE33I3GRFYgHBUfjwSU.jpg', 'title': ""Schindler's List (1993)""}, {'movieId': 202, 'poster_path': '/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg', 'title': 'Lord of the Rings: The Fellowship of the Ring, The (2001)'}, {'movieId': 758, 'poster_path': '/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg', 'title': 'Interstellar (2014)'}, {'movieId': 805, 'poster_path': '/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg', 'title': 'The Martian (2015)'}, {'movieId': 783, 'poster_path': '/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg', 'title': 'The Imitation Game (2014)'}]",I have a vague idea of the technical details,b,True,True,True,Student
5d72c32e2203520016cc380d,5f86afd4bc64202075e4b215,5f8574e1321766020cfa1d2e,41,"Wed, 14 Oct 2020 08:01:39 GMT",GB,"Wed, 14 Oct 2020 07:59:26 GMT",Trade or technical school,Male,5,5,3,3,3,3,3,3,3,5,5,3,3,3,3,3,3,"[{'movieId': 297, 'poster_path': '/k1lICEYRpJeFRIRfjxYwmpO9LTu.jpg', 'title': 'Fight Club (1999)'}, {'movieId': 227, 'poster_path': '/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg', 'title': 'Lord of the Rings: The Return of the King, The (2003)'}, {'movieId': 36, 'poster_path': '/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg', 'title': 'Lord of the Rings: The Two Towers, The (2002)'}, {'movieId': 336, 'poster_path': '/56mOJth6DJ6JhgoE2jtpilVqJO.jpg', 'title': 'Snatch (2000)'}, {'movieId': 1717, 'poster_path': '/velWPhVMQeQKcxggNEU8YmIo52R.jpg', 'title': 'Green Mile, The (1999)'}]",I have a vague idea of the technical details,a,True,True,True,Employed full time
5e1ee50d7d246221146d5f3b,5f86afd0d3734120a99c13fa,5f8574e1321766020cfa1d2e,33,"Wed, 14 Oct 2020 08:02:47 GMT",GB,"Wed, 14 Oct 2020 07:59:27 GMT",Master's degree,Female,4,4,5,5,5,5,2,2,5,4,3,3,3,4,4,4,4,"[{'movieId': 29, 'poster_path': '/slVnvaH6fpF22154vnjQJdXCVZd.jpg', 'title': ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""}, {'movieId': 70, 'poster_path': '/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg', 'title': 'Toy Story (1995)'}, {'movieId': 202, 'poster_path': '/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg', 'title': 'Lord of the Rings: The Fellowship of the Ring, The (2001)'}, {'movieId': 48, 'poster_path': '/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg', 'title': 'Eternal Sunshine of the Spotless Mind (2004)'}, {'movieId': 775, 'poster_path': '/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg', 'title': 'Guardians of the Galaxy (2014)'}]",I have a good idea of the technical details,c,True,True,True,Employed part time
5f6c38020e1b031a88d1df1d,5f86afc2d734f920cc8ad380,5f8574e1321766020cfa1d2e,25,"Wed, 14 Oct 2020 08:04:58 GMT",US,"Wed, 14 Oct 2020 07:59:27 GMT",Bachelor's degree,Male,5,5,2,1,1,1,5,5,5,5,5,5,3,5,5,5,5,"[{'movieId': 159, 'poster_path': '/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg', 'title': 'Matrix, The (1999)'}, {'movieId': 654, 'poster_path': '/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg', 'title': 'Inception (2010)'}, {'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 578, 'poster_path': '/qJ2tW6WMUDux911r6m7haRef0WH.jpg', 'title': 'Dark Knight, The (2008)'}, {'movieId': 227, 'poster_path': '/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg', 'title': 'Lord of the Rings: The Return of the King, The (2003)'}]",I am very knowledgeable,b,True,True,True,Employed part time
,,,58,"Wed, 14 Oct 2020 18:45:32 GMT",DK,"Wed, 14 Oct 2020 18:40:00 GMT",Bachelor's degree,Male,4,5,2,2,2,2,4,2,5,4,4,3,3,3,4,4,4,"[{'movieId': 89, 'poster_path': '/lKb6h6LURE33I3GRFYgHBUfjwSU.jpg', 'title': ""Schindler's List (1993)""}, {'movieId': 295, 'poster_path': '/wby9315QzVKdW9BonAefg8jGTTb.jpg', 'title': 'American Beauty (1999)'}, {'movieId': 82, 'poster_path': '/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg', 'title': 'Forrest Gump (1994)'}, {'movieId': 141, 'poster_path': '/1wY4psJ5NVEhCuOYROwLH2XExM2.jpg', 'title': 'Saving Private Ryan (1998)'}, {'movieId': 1717, 'poster_path': '/velWPhVMQeQKcxggNEU8YmIo52R.jpg', 'title': 'Green Mile, The (1999)'}]",I have a vague idea of the technical details,a,True,True,True,Employed full time
5efef127510b0a409d35c8ab,5f86afc7dae6f32089c75428,5f8574e1321766020cfa1d2e,28,"Wed, 14 Oct 2020 08:07:01 GMT",GB,"Wed, 14 Oct 2020 08:04:17 GMT",Master's degree,Female,5,5,2,2,2,2,4,4,5,5,5,4,4,5,5,5,5,"[{'movieId': 82, 'poster_path': '/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg', 'title': 'Forrest Gump (1994)'}, {'movieId': 773, 'poster_path': '/qymaJhucquUwjpb8oiqynMeXnID.jpg', 'title': 'Gone Girl (2014)'}, {'movieId': 5506, 'poster_path': '/9lfz2W2uGjyow3am00rsPJ8iOyq.jpg', 'title': 'Hidden Figures (2016)'}, {'movieId': 750, 'poster_path': '/sOxr33wnRuKazR9ClHek73T8qnK.jpg', 'title': 'Wolf of Wall Street, The (2013)'}, {'movieId': 2007, 'poster_path': '/7XLSwxpfpPoJyTdJVot6a42TS2V.jpg', 'title': 'Help, The (2011)'}]",I have a vague idea of the technical details,a,True,True,True,Employed full time
,,,41,"Wed, 14 Oct 2020 05:58:05 GMT",US,"Wed, 14 Oct 2020 05:47:17 GMT",Master's degree,Female,4,5,2,3,2,4,3,4,5,4,4,4,5,4,4,5,4,"[{'movieId': 79, 'poster_path': '/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg', 'title': 'Shawshank Redemption, The (1994)'}, {'movieId': 274, 'poster_path': '/f8rOfzX9UuY4Zc39rljrRbjsWK3.jpg', 'title': 'Goodfellas (1990)'}, {'movieId': 260, 'poster_path': '/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg', 'title': 'Silence of the Lambs, The (1991)'}, {'movieId': 29, 'poster_path': '/slVnvaH6fpF22154vnjQJdXCVZd.jpg', 'title': ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""}, {'movieId': 758, 'poster_path': '/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg', 'title': 'Interstellar (2014)'}]",I have a vague idea of the technical details,b,True,True,True,Employed full time
5f6cf37f9dd5cb12f4fa402c,5f8693ed696fed1ee1380742,5f8574e1321766020cfa1d2e,33,"Wed, 14 Oct 2020 06:02:43 GMT",US,"Wed, 14 Oct 2020 06:00:38 GMT",Master's degree,Female,4,5,2,3,2,3,4,4,5,4,4,4,5,4,4,3,4,"[{'movieId': 79, 'poster_path': '/5KCVkau1HEl7ZzfPsKAPM0sMiKc.jpg', 'title': 'Shawshank Redemption, The (1994)'}, {'movieId': 260, 'poster_path': '/rplLJ2hPcOQmkFhTqUte0MkEaO2.jpg', 'title': 'Silence of the Lambs, The (1991)'}, {'movieId': 758, 'poster_path': '/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg', 'title': 'Interstellar (2014)'}, {'movieId': 82, 'poster_path': '/clolk7rB5lAjs41SD0Vt6IXYLMm.jpg', 'title': 'Forrest Gump (1994)'}, {'movieId': 72, 'poster_path': '/or1gBugydmjToAEq7OZY0owwFk.jpg', 'title': 'Braveheart (1995)'}]",I don't know any technical details,a,True,True,True,Employed full time
